date,Power_kW,temp_C,HR,windSpeed_m/s,windGust_m/s,pres_mbar,solarRad_W/m2,rain_mm/h,rain_day,hour,week_day,holiday,power_m1,time_of_day,hdh,kW_solar_rel
2017-01-01 01:00:00,99.0541345,7.93,76.31,2.69,3.48,1028.17,1.48,0.0,0.0,1,6,1,100.8100005,0.0,8.07,0.7061092718495159
2017-01-01 02:00:00,98.539567,7.26,80.27,3.3,4.07,1028.0,1.42,0.0,0.0,2,6,1,99.0541345,0.0,8.74,0.7104954924566694
2017-01-01 03:00:00,101.4357845,6.83,81.33,3.53,4.42,1028.0,1.54,0.0,0.0,3,6,1,98.539567,0.0,9.17,0.7152786894765634
2017-01-01 04:00:00,98.4816645,6.5,81.24,4.01,5.26,1028.0,0.89,0.0,0.0,4,6,1,101.4357845,0.0,9.5,0.8066878547238301
2017-01-01 05:00:00,97.805844,6.01,81.01,4.55,6.08,1028.0,1.38,0.0,0.0,5,6,1,98.4816645,0.0,9.99,0.7108075161484627
2017-01-01 06:00:00,94.4647605,5.65,80.44,4.0,5.35,1027.0,0.99,0.0,0.0,6,6,1,97.805844,0.0,10.35,0.7523484275705847
2017-01-01 07:00:00,94.983261,5.48,80.19,3.18,4.65,1027.0,1.47,0.0,0.0,7,6,1,94.4647605,1.0,10.52,0.6783517820786922
2017-01-01 08:00:00,104.62217,5.41,80.36,3.46,4.4,1027.0,29.55,0.0,0.0,8,6,1,94.983261,1.0,10.59,0.6075091415923551
2017-01-01 09:00:00,101.36215,5.48,80.09,4.51,5.68,1027.0,76.49,0.0,0.0,9,6,1,104.62217,1.0,10.52,0.5885791963256594
2017-01-01 10:00:00,104.6009755,6.02,78.79,3.96,5.32,1027.0,192.81,0.0,0.0,10,6,1,101.36215,1.0,9.98,0.6073860715727714
2017-01-01 11:00:00,106.95575,6.88,76.29,2.46,3.31,1026.17,237.49,0.0,0.0,11,6,1,104.6009755,1.0,9.120000000000001,0.6210595313675581
2017-01-01 12:00:00,104.9514495,7.56,75.32,2.15,2.85,1025.17,267.5,0.0,0.0,12,6,1,106.95575,1.0,8.440000000000001,0.6094211675652402
2017-01-01 13:00:00,104.791726,8.73,72.75,1.56,2.22,1023.67,203.55,0.0,0.0,13,6,1,104.9514495,1.0,7.27,0.6084937017482235
2017-01-01 14:00:00,107.381825,9.81,70.03,1.08,1.72,1023.0,146.23,0.0,0.0,14,6,1,104.791726,1.0,6.1899999999999995,0.6235336193883279
2017-01-01 15:00:00,103.988083,9.74,71.41,1.94,2.41,1022.25,124.28,0.0,0.0,15,6,1,107.381825,0.5,6.26,0.6038271911121258
2017-01-01 16:00:00,105.216053,9.53,73.76,1.35,1.76,1022.0,56.92,0.0,0.0,16,6,1,103.988083,0.5,6.470000000000001,0.6109576396642926
2017-01-01 17:00:00,107.87345,8.97,76.36,2.45,3.0,1022.0,5.23,0.0,0.0,17,6,1,105.216053,0.5,7.029999999999999,0.6297417221432322
2017-01-01 18:00:00,105.297772,8.86,76.31,2.73,3.33,1021.58,1.51,0.0,0.0,18,6,1,107.87345,0.5,7.140000000000001,0.746503621398614
2017-01-01 19:00:00,105.5317855,8.98,75.88,2.22,2.87,1021.0,1.45,0.0,0.0,19,6,1,105.297772,0.5,7.02,0.7565335642826959
2017-01-01 20:00:00,110.062383,9.19,76.86,1.78,2.22,1020.0,1.36,0.0,0.0,20,6,1,105.5317855,0.0,6.8100000000000005,0.8031304007743937
2017-01-01 21:00:00,104.160698,9.17,78.6,0.41,0.65,1019.33,1.34,0.0,0.0,21,6,1,110.062383,0.0,6.83,0.7632015024090035
2017-01-01 22:00:00,100.433525,10.01,77.72,1.63,2.37,1018.92,1.22,0.0,0.0,22,6,1,104.160698,0.0,5.99,0.7553613347456366
2017-01-01 23:00:00,97.65639,9.9,80.14,2.01,3.25,1018.0,1.5,0.0,0.0,23,6,1,100.433525,0.0,6.1,0.6935893803833625
2017-01-02 00:00:00,92.2155215,9.48,83.18,2.65,3.52,1017.17,1.21,0.0,0.0,0,0,0,97.65639,0.0,6.52,0.6951424578463521
2017-01-02 01:00:00,94.69353,10.18,84.04,3.72,4.78,1016.08,1.7,0.0,0.0,1,0,0,92.2155215,0.0,5.82,0.6503062786027575
2017-01-02 02:00:00,97.90985,9.99,85.42,5.72,6.58,1015.0,1.22,0.0,0.0,2,0,0,94.69353,0.0,6.01,0.7363807551387354
2017-01-02 03:00:00,95.432934,9.79,87.09,5.37,6.52,1014.58,1.45,0.0,0.0,3,0,0,97.90985,0.0,6.210000000000001,0.6841371759883214
2017-01-02 04:00:00,95.6783095,9.89,86.72,5.01,7.19,1014.0,1.62,0.0,0.0,4,0,0,95.432934,0.0,6.109999999999999,0.6655224045873993
2017-01-02 05:00:00,96.260175,9.99,85.08,5.44,7.67,1013.42,1.55,0.0,0.0,5,0,0,95.6783095,0.0,6.01,0.6775903426734982
2017-01-02 06:00:00,104.752833,10.42,81.62,7.14,9.04,1013.0,1.74,0.0,0.0,6,0,0,96.260175,0.0,5.58,0.7150312807250383
2017-01-02 07:00:00,133.9879145,10.28,82.47,8.2,10.27,1013.0,1.73,0.0,0.0,7,0,0,104.752833,1.0,5.720000000000001,0.9159591686217347
2017-01-02 08:00:00,283.762017,10.11,80.8,9.32,11.18,1013.0,15.97,0.0,0.0,8,0,0,133.9879145,1.0,5.890000000000001,1.647719975170513
2017-01-02 09:00:00,240.998945,10.33,79.65,7.67,9.94,1013.25,39.91,0.0,0.0,9,0,0,283.762017,1.0,5.67,1.3994076227016867
2017-01-02 10:00:00,263.4928645,10.9,77.82,8.37,10.52,1014.0,52.15,0.0,0.0,10,0,0,240.998945,1.0,5.1,1.5300229762781852
2017-01-02 11:00:00,280.4191855,11.78,74.98,7.55,9.77,1013.67,36.01,0.0,0.0,11,0,0,263.4928645,1.0,4.220000000000001,1.6283089776202067
2017-01-02 12:00:00,279.7964605,12.59,73.77,6.62,8.13,1012.92,57.51,0.0,0.0,12,0,0,280.4191855,1.0,3.41,1.62469300282062
2017-01-02 13:00:00,276.200169,13.53,70.5,6.23,8.24,1012.83,23.72,0.14,0.14,13,0,0,279.7964605,1.0,2.4700000000000006,1.6038104312423467
2017-01-02 14:00:00,281.5724285,13.82,70.35,6.16,8.34,1012.08,15.52,0.54,0.68,14,0,0,276.200169,1.0,2.1799999999999997,1.6350058065470512
2017-01-02 15:00:00,289.8548895,13.14,77.35,6.99,9.16,1012.75,32.48,1.41,2.07,15,0,0,281.5724285,0.5,2.8599999999999994,1.6830992427940223
2017-01-02 16:00:00,288.749498,13.12,76.6,6.93,9.46,1012.17,8.94,1.18,3.22,16,0,0,289.8548895,0.5,2.880000000000001,1.6769002842999596
2017-01-02 17:00:00,257.0615355,13.42,77.15,8.67,12.01,1012.42,3.47,0.94,4.13,17,0,0,288.749498,0.5,2.58,1.5391259169857547
2017-01-02 18:00:00,248.6444785,13.92,74.99,8.01,10.76,1013.08,2.96,0.17,4.3,18,0,0,257.0615355,0.5,2.08,1.5186192154044291
2017-01-02 19:00:00,181.6134855,13.48,79.58,7.71,10.46,1014.42,3.3,0.41,4.71,19,0,0,248.6444785,0.5,2.5199999999999996,1.0934703502105187
2017-01-02 20:00:00,129.322284,13.44,81.18,6.53,8.95,1015.0,1.86,0.75,5.45,20,0,0,181.6134855,0.0,2.5600000000000005,0.8678352532711917
2017-01-02 21:00:00,111.230047,13.65,82.0,6.72,9.41,1015.75,1.7,1.18,6.6,21,0,0,129.322284,0.0,2.3499999999999996,0.7638705403989038
2017-01-02 22:00:00,108.5470855,13.76,83.03,5.19,7.02,1016.0,1.64,0.04,6.64,22,0,0,111.230047,0.0,2.24,0.7525655405809145
2017-01-02 23:00:00,104.6818205,14.1,84.24,6.14,9.01,1016.33,1.26,0.48,7.09,23,0,0,108.5470855,0.0,1.9000000000000004,0.7802761779673001
2017-01-03 00:00:00,103.7916515,14.42,82.82,6.34,8.93,1017.0,2.13,0.16,1.23,0,1,0,104.6818205,0.0,1.58,0.6743082144843547
2017-01-03 01:00:00,101.9073075,14.21,84.12,5.17,7.0,1017.0,2.11,0.08,0.1,1,1,0,103.7916515,0.0,1.7899999999999991,0.6634866916069488
2017-01-03 02:00:00,91.7479315,13.77,85.14,4.39,5.74,1017.0,1.72,0.22,0.32,2,1,0,101.9073075,0.0,2.2300000000000004,0.628150263120683
2017-01-03 03:00:00,92.043999,13.0,89.12,4.31,5.49,1017.92,2.2,0.16,0.48,3,1,0,91.7479315,0.0,3.0,0.5936926587944875
2017-01-03 04:00:00,100.4516605,14.23,87.25,4.79,6.5,1018.0,0.97,0.29,0.77,4,1,0,92.043999,0.0,1.7699999999999996,0.8044084627673407
2017-01-03 05:00:00,99.002787,14.78,85.04,5.67,7.44,1018.0,1.32,0.34,1.1,5,1,0,100.4516605,0.0,1.2200000000000006,0.7284495924764866
2017-01-03 06:00:00,111.1909355,14.9,84.5,5.32,6.98,1018.58,1.06,0.0,1.1,6,1,0,99.002787,0.0,1.0999999999999996,0.869341841467594
2017-01-03 07:00:00,140.103948,14.88,84.25,4.52,6.27,1019.42,1.1,0.0,1.1,7,1,0,111.1909355,1.0,1.1199999999999992,1.084345330093152
2017-01-03 08:00:00,294.723725,14.95,84.78,4.51,5.74,1020.5,24.55,0.0,1.1,8,1,0,140.103948,1.0,1.0500000000000007,1.7113710907116992
2017-01-03 09:00:00,263.7017505,15.29,82.75,4.25,5.51,1021.5,85.12,0.0,1.1,9,1,0,294.723725,1.0,0.7100000000000009,1.531235913789906
2017-01-03 10:00:00,265.3195245,15.5,81.64,2.24,3.23,1022.67,143.6,0.0,1.1,10,1,0,263.7017505,1.0,0.5,1.5406298356903052
2017-01-03 11:00:00,240.3646395,15.34,80.11,3.32,4.51,1023.0,173.73,0.0,1.1,11,1,0,265.3195245,1.0,0.6600000000000001,1.3957244034584588
2017-01-03 12:00:00,239.125089,16.22,73.86,6.24,7.59,1023.0,285.35,0.0,1.1,12,1,0,240.3646395,1.0,0.0,1.3885267104626506
2017-01-03 13:00:00,237.2938405,16.35,73.17,6.11,7.82,1022.17,263.19,0.0,1.1,13,1,0,239.125089,1.0,0.0,1.3778932070256913
2017-01-03 14:00:00,253.0376395,16.35,73.72,6.24,7.88,1022.33,160.12,0.0,1.1,14,1,0,237.2938405,1.0,0.0,1.469312662537761
2017-01-03 15:00:00,238.7123425,16.45,69.56,5.75,7.13,1023.0,228.83,0.0,1.1,15,1,0,253.0376395,0.5,0.0,1.3861300169902229
2017-01-03 16:00:00,241.225748,15.67,71.84,5.56,6.81,1023.17,59.23,0.0,1.1,16,1,0,238.7123425,0.5,0.33000000000000007,1.4007245987865886
2017-01-03 17:00:00,227.8664395,15.35,76.02,3.7,4.57,1024.0,12.02,0.0,1.1,17,1,0,241.225748,0.5,0.6500000000000004,1.3231591235916123
2017-01-03 18:00:00,214.3172545,15.21,77.66,3.19,4.09,1024.58,0.83,0.0,1.1,18,1,0,227.8664395,0.5,0.7899999999999991,1.7871276593153038
2017-01-03 19:00:00,163.7266385,15.05,81.93,2.02,2.64,1025.0,0.81,0.0,1.1,19,1,0,214.3172545,0.5,0.9499999999999993,1.373642204932962
2017-01-03 20:00:00,138.1940395,14.97,82.77,2.08,2.83,1025.0,1.05,0.0,1.1,20,1,0,163.7266385,0.0,1.0299999999999994,1.0832586047323063
2017-01-03 21:00:00,119.6543145,14.94,82.44,1.94,2.73,1025.75,1.0,0.0,1.1,21,1,0,138.1940395,0.0,1.0600000000000005,0.9503974866557839
2017-01-03 22:00:00,117.3744855,14.97,82.12,2.48,3.17,1026.0,0.91,0.0,1.1,22,1,0,119.6543145,0.0,1.0299999999999994,0.9559015513284698
2017-01-03 23:00:00,105.088449,14.78,83.0,2.14,2.83,1026.5,0.68,0.0,1.1,23,1,0,117.3744855,0.0,1.2200000000000006,0.919362822158013
2017-01-04 00:00:00,115.5294715,14.16,85.08,1.55,2.12,1027.0,0.78,0.0,0.18,0,2,0,105.088449,0.0,1.8399999999999999,0.9783636896042334
2017-01-04 01:00:00,104.092526,13.17,88.34,1.46,1.91,1026.17,0.56,0.0,0.0,1,2,0,115.5294715,0.0,2.83,0.9496916448798915
2017-01-04 02:00:00,102.9076005,12.84,89.69,1.39,1.74,1026.33,0.57,0.0,0.0,2,2,0,104.092526,0.0,3.16,0.9354846692670287
2017-01-04 03:00:00,99.6797,12.21,90.48,2.59,3.1,1027.0,0.59,0.0,0.0,3,2,0,102.9076005,0.0,3.789999999999999,0.8996597413225003
2017-01-04 04:00:00,103.38546,11.74,91.19,2.45,2.98,1027.0,1.32,0.0,0.0,4,2,0,99.6797,0.0,4.26,0.7606967287193046
2017-01-04 05:00:00,107.459174,11.65,91.43,1.6,2.1,1026.33,1.25,0.0,0.0,5,2,0,103.38546,0.0,4.35,0.8027568158552579
2017-01-04 06:00:00,114.5995355,11.56,91.6,1.43,1.8,1027.0,2.25,0.0,0.0,6,2,0,107.459174,0.0,4.4399999999999995,0.7355820227154922
2017-01-04 07:00:00,147.4422705,11.56,91.74,1.48,1.93,1027.17,3.3,0.0,0.0,7,2,0,114.5995355,1.0,4.4399999999999995,0.8877300642934307
2017-01-04 08:00:00,181.33315,11.36,91.94,1.33,1.78,1028.0,10.86,0.0,0.0,8,2,0,147.4422705,1.0,4.640000000000001,1.052966715089571
2017-01-04 09:00:00,214.0441295,11.47,91.98,1.15,1.59,1028.0,55.83,0.0,0.0,9,2,0,181.33315,1.0,4.529999999999999,1.2428892019292739
2017-01-04 10:00:00,254.334,11.73,91.85,1.47,1.78,1028.83,151.69,0.0,0.0,10,2,0,214.0441295,1.0,4.27,1.4768402339363385
2017-01-04 11:00:00,252.5547545,12.12,91.63,1.04,1.55,1028.83,239.34,0.0,0.0,11,2,0,254.334,1.0,3.880000000000001,1.466508696114222
2017-01-04 12:00:00,252.506903,13.05,89.73,1.08,1.47,1027.83,290.05,0.0,0.0,12,2,0,252.5547545,1.0,2.9499999999999993,1.4662308369980432
2017-01-04 13:00:00,238.2049855,14.14,83.34,1.69,2.18,1027.0,342.13,0.0,0.0,13,2,0,252.506903,1.0,1.8599999999999994,1.3831839491008757
2017-01-04 14:00:00,253.2006405,14.25,83.29,1.86,2.41,1027.0,205.85,0.0,0.0,14,2,0,238.2049855,1.0,1.75,1.4702591598010912
2017-01-04 15:00:00,252.5897145,14.09,85.0,1.27,1.95,1027.0,82.69,0.0,0.0,15,2,0,253.2006405,0.5,1.9100000000000001,1.466711698208234
2017-01-04 16:00:00,259.785575,13.9,86.2,1.78,2.37,1027.0,55.22,0.0,0.0,16,2,0,252.5897145,0.5,2.0999999999999996,1.508495872971314
2017-01-04 17:00:00,239.788455,13.78,86.66,1.88,2.35,1027.0,8.05,0.0,0.0,17,2,0,259.785575,0.5,2.2200000000000006,1.392822985908603
2017-01-04 18:00:00,208.1431,13.63,87.18,1.62,2.05,1027.75,0.63,0.0,0.0,18,2,0,239.788455,0.5,2.369999999999999,1.852326799518691
2017-01-04 19:00:00,151.0667485,13.5,87.88,1.6,2.22,1028.0,0.61,0.0,0.0,19,2,0,208.1431,0.5,2.5,1.3538253640352371
2017-01-04 20:00:00,135.600663,13.12,89.26,1.74,2.54,1028.0,0.55,0.0,0.0,20,2,0,151.0667485,0.0,2.880000000000001,1.2416774043028695
2017-01-04 21:00:00,115.7029605,12.95,89.91,1.14,1.59,1028.0,0.64,0.0,0.0,21,2,0,135.600663,0.0,3.0500000000000007,1.0261143536839992
2017-01-04 22:00:00,109.540605,12.5,90.38,0.78,1.24,1028.0,0.9,0.0,0.0,22,2,0,115.7029605,0.0,3.5,0.8946753550639451
2017-01-04 23:00:00,103.842999,12.16,91.07,0.5,0.71,1028.0,1.69,0.0,0.0,23,2,0,109.540605,0.0,3.84,0.7142471882235196
2017-01-05 00:00:00,113.875645,11.89,91.55,0.55,0.69,1027.83,1.29,0.0,0.0,0,3,0,103.842999,0.0,4.109999999999999,0.8432616573485742
2017-01-05 01:00:00,113.996694,11.9,91.78,0.94,1.11,1027.0,1.65,0.0,0.0,1,3,0,113.875645,0.0,4.1,0.7890704672167432
2017-01-05 02:00:00,112.3961815,11.43,92.09,0.82,1.09,1027.0,1.76,0.0,0.0,2,3,0,113.996694,0.0,4.57,0.7649356235994067
2017-01-05 03:00:00,111.5479645,10.98,92.46,1.59,1.91,1027.0,1.4,0.0,0.0,3,3,0,112.3961815,0.0,5.02,0.8074521745169689
2017-01-05 04:00:00,102.8306885,10.74,93.09,1.99,2.39,1027.0,1.33,0.0,0.0,4,3,0,111.5479645,0.0,5.26,0.7550276588887139
2017-01-05 05:00:00,108.672723,10.49,93.98,1.58,1.95,1026.75,1.15,0.07,0.07,5,3,0,102.8306885,0.0,5.51,0.8308366050148512
2017-01-05 06:00:00,117.6257605,9.94,94.91,1.57,2.14,1026.0,0.76,0.03,0.1,6,3,0,108.672723,0.0,6.0600000000000005,1.0024411775434068
2017-01-05 07:00:00,146.875263,9.35,95.25,2.94,3.69,1026.5,1.34,0.0,0.1,7,3,0,117.6257605,1.0,6.65,1.0761777094496574
2017-01-05 08:00:00,176.54363,8.94,95.6,2.26,3.14,1027.0,11.32,0.0,0.1,8,3,0,146.875263,1.0,7.0600000000000005,1.0251476322599153
2017-01-05 09:00:00,196.5042605,8.66,95.82,2.41,3.14,1027.0,53.15,0.0,0.1,9,3,0,176.54363,1.0,7.34,1.1410405138373445
2017-01-05 10:00:00,223.615959,9.14,95.54,1.19,2.08,1027.0,113.06,0.0,0.1,10,3,0,196.5042605,1.0,6.859999999999999,1.2984699065066356
2017-01-05 11:00:00,239.3411855,9.47,95.38,1.41,1.87,1027.25,196.07,0.0,0.1,11,3,0,223.615959,1.0,6.529999999999999,1.3897815171562613
2017-01-05 12:00:00,231.6036635,9.71,95.26,1.77,2.33,1027.0,210.87,0.0,0.1,12,3,0,239.3411855,1.0,6.289999999999999,1.3448520786990847
2017-01-05 13:00:00,230.0051175,10.08,95.14,1.9,2.49,1026.42,322.44,0.0,0.1,13,3,0,231.6036635,1.0,5.92,1.3355698079503922
2017-01-05 14:00:00,231.4789,10.35,95.18,1.98,2.54,1026.0,304.17,0.0,0.1,14,3,0,230.0051175,1.0,5.65,1.34412761497608
2017-01-05 15:00:00,248.707188,10.07,95.09,1.82,2.52,1026.0,153.47,0.0,0.1,15,3,0,231.4789,0.5,5.93,1.4441670469051284
