temp_C,HR,windSpeed_m/s,windGust_m/s,pres_mbar,solarRad_W/m2,rain_mm/h,rain_day
8.53,74.97,2.34,3.27,1029.0,1.36,0.0,0.0
7.93,76.31,2.69,3.48,1028.17,1.48,0.0,0.0
7.26,80.27,3.3,4.07,1028.0,1.42,0.0,0.0
6.83,81.33,3.53,4.42,1028.0,1.54,0.0,0.0
6.5,81.24,4.01,5.26,1028.0,0.89,0.0,0.0
6.01,81.01,4.55,6.08,1028.0,1.38,0.0,0.0
5.65,80.44,4.0,5.35,1027.0,0.99,0.0,0.0
5.48,80.19,3.18,4.65,1027.0,1.47,0.0,0.0
5.41,80.36,3.46,4.4,1027.0,29.55,0.0,0.0
5.48,80.09,4.51,5.68,1027.0,76.49,0.0,0.0
6.02,78.79,3.96,5.32,1027.0,192.81,0.0,0.0
6.88,76.29,2.46,3.31,1026.17,237.49,0.0,0.0
7.56,75.32,2.15,2.85,1025.17,267.5,0.0,0.0
8.73,72.75,1.56,2.22,1023.67,203.55,0.0,0.0
9.81,70.03,1.08,1.72,1023.0,146.23,0.0,0.0
9.74,71.41,1.94,2.41,1022.25,124.28,0.0,0.0
9.53,73.76,1.35,1.76,1022.0,56.92,0.0,0.0
8.97,76.36,2.45,3.0,1022.0,5.23,0.0,0.0
8.86,76.31,2.73,3.33,1021.58,1.51,0.0,0.0
8.98,75.88,2.22,2.87,1021.0,1.45,0.0,0.0
9.19,76.86,1.78,2.22,1020.0,1.36,0.0,0.0
9.17,78.6,0.41,0.65,1019.33,1.34,0.0,0.0
10.01,77.72,1.63,2.37,1018.92,1.22,0.0,0.0
9.9,80.14,2.01,3.25,1018.0,1.5,0.0,0.0
9.48,83.18,2.65,3.52,1017.17,1.21,0.0,0.0
10.18,84.04,3.72,4.78,1016.08,1.7,0.0,0.0
9.99,85.42,5.72,6.58,1015.0,1.22,0.0,0.0
9.79,87.09,5.37,6.52,1014.58,1.45,0.0,0.0
9.89,86.72,5.01,7.19,1014.0,1.62,0.0,0.0
9.99,85.08,5.44,7.67,1013.42,1.55,0.0,0.0
10.42,81.62,7.14,9.04,1013.0,1.74,0.0,0.0
10.28,82.47,8.2,10.27,1013.0,1.73,0.0,0.0
10.11,80.8,9.32,11.18,1013.0,15.97,0.0,0.0
10.33,79.65,7.67,9.94,1013.25,39.91,0.0,0.0
10.9,77.82,8.37,10.52,1014.0,52.15,0.0,0.0
11.78,74.98,7.55,9.77,1013.67,36.01,0.0,0.0
12.59,73.77,6.62,8.13,1012.92,57.51,0.0,0.0
13.53,70.5,6.23,8.24,1012.83,23.72,0.14,0.14
13.82,70.35,6.16,8.34,1012.08,15.52,0.54,0.68
13.14,77.35,6.99,9.16,1012.75,32.48,1.41,2.07
13.12,76.6,6.93,9.46,1012.17,8.94,1.18,3.22
13.42,77.15,8.67,12.01,1012.42,3.47,0.94,4.13
13.92,74.99,8.01,10.76,1013.08,2.96,0.17,4.3
13.48,79.58,7.71,10.46,1014.42,3.3,0.41,4.71
13.44,81.18,6.53,8.95,1015.0,1.86,0.75,5.45
13.65,82.0,6.72,9.41,1015.75,1.7,1.18,6.6
13.76,83.03,5.19,7.02,1016.0,1.64,0.04,6.64
14.1,84.24,6.14,9.01,1016.33,1.26,0.48,7.09
14.42,82.82,6.34,8.93,1017.0,2.13,0.16,1.23
14.21,84.12,5.17,7.0,1017.0,2.11,0.08,0.1
13.77,85.14,4.39,5.74,1017.0,1.72,0.22,0.32
13.0,89.12,4.31,5.49,1017.92,2.2,0.16,0.48
14.23,87.25,4.79,6.5,1018.0,0.97,0.29,0.77
14.78,85.04,5.67,7.44,1018.0,1.32,0.34,1.1
14.9,84.5,5.32,6.98,1018.58,1.06,0.0,1.1
14.88,84.25,4.52,6.27,1019.42,1.1,0.0,1.1
14.95,84.78,4.51,5.74,1020.5,24.55,0.0,1.1
15.29,82.75,4.25,5.51,1021.5,85.12,0.0,1.1
15.5,81.64,2.24,3.23,1022.67,143.6,0.0,1.1
15.34,80.11,3.32,4.51,1023.0,173.73,0.0,1.1
16.22,73.86,6.24,7.59,1023.0,285.35,0.0,1.1
